# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		T		Skipped
0		8802		3628		3076		0.9
1		8076		7229		3096		0.80999994
2		7727		10852		3138		0.7289999
3		7481		14443		3183		0.6560999
4		7266		18009		3223		0.5904899
5		7130		21611		3204		0.5314409
6		6943		25206		3231		0.47829682
7		6723		28773		3232		0.43046713
8		6547		32364		3260		0.38742042
9		6420		35934		3241		0.34867835
10		6283		39546		3297		0.3138105
11		6175		43166		3296		0.28242943
12		6120		46764		3305		0.25418648
13		6080		50373		3322		0.22876783
14		5911		54006		3317		0.20589104
15		5899		57683		3300		0.18530193
16		5751		61295		3362		0.16677174
17		5686		64876		3341		0.15009457
18		5623		68491		3326		0.1350851
19		5556		72076		3300		0.12157659
20		5496		75689		3341		0.10941893
21		5388		79224		3327		0.098477036
22		5349		82834		3328		0.08862933
23		5329		86427		3329		0.07976639
24		5246		89979		3351		0.07178975
25		5160		93588		3333		0.06461077
26		5150		97168		3329		0.05814969
27		5128		100766		3317		0.052334722
28		5047		104359		3319		0.047101248
29		5039		107966		3360		0.04239112
30		4977		111517		3347		0.03815201
31		4904		115086		3320		0.03433681
32		4974		118674		3350		0.030903127
33		4931		122260		3316		0.027812814
34		4812		125855		3324		0.025031533
35		4816		129465		3322		0.022528378
36		4803		133084		3336		0.02027554
37		4711		136703		3338		0.018247986
38		4679		140300		3346		0.016423186
39		4606		143896		3349		0.014780867
40		4670		147505		3330		0.01330278
41		4634		151111		3336		0.011972502
42		4592		154676		3364		0.010775251
43		4612		158312		3333		0.009697726
44		4578		161920		3321		0.008727953
45		4606		165479		3346		0.007855157
46		4602		169087		3352		0.0070696413
47		4545		172720		3360		0.006362677
48		4484		176299		3368		0.005726409
49		4481		179896		3382		0.005153768
50		4410		183534		3368		0.004638391
51		4355		187199		3373		0.004174552
52		4363		190809		3364		0.0037570966
53		4341		194482		3369		0.0033813869
54		4324		198096		3339		0.003043248
55		4310		201690		3332		0.0027389233
56		4296		205294		3360		0.0024650309
57		4204		208927		3377		0.0022185277
58		4261		212536		3351		0.0019966748
59		4206		216146		3374		0.0017970073
60		4232		219749		3368		0.0016173065
61		4133		223368		3363		0.0014555758
62		4097		226983		3383		0.0013100182
63		4088		230582		3379		0.0011790164
64		4089		234206		3362		0.0010611147
65		4082		237811		3352		9.550032E-4
66		4038		241406		3371		8.595029E-4
67		4051		245031		3387		7.735526E-4
68		4022		248646		3318		6.9619727E-4
69		4028		252241		3371		6.2657753E-4
70		4025		255792		3360		5.639198E-4
71		3986		259395		3347		5.075278E-4
72		3986		263030		3348		4.56775E-4
73		3923		266632		3359		4.1109748E-4
74		3943		270264		3380		3.699877E-4
75		3908		273828		3379		3.3298894E-4
76		3916		277402		3390		2.9969003E-4
77		3875		280986		3384		2.6972103E-4
